id,repo,url,license
1,predictSource,benmarwick/predictSource,MIT
2,fieldwalkr,joeroe/fieldwalkr,CC0-1.0
3,sitedefinition,SCSchmidt/sitedefinition,CC-BY-4.0
4,stratigraphr,joeroe/stratigraphr,MIT
5,BAM,Big-Ancient-Mediterranean/BAM,GPL-3.0
6,grainsizeR,dtavern/grainsizeR,MIT
7,xraylib,tschoonj/xraylib,Proprietary
8,tidypaleo,paleolimbot/tidypaleo,MIT
9,evoarchdata,benmarwick/evoarchdata,MIT
10,DObsiSS,zackbatist/DObsiSS,CC-BY-SA-4.0
11,neotoma,ropensci/neotoma,MIT
12,munsell,cwickham/munsell,MIT
13,rekrei,rekrei/rekrei,MIT
14,AtlantGIS,kacebe/AtlantGIS,CC-BY-SA-4.0
15,GIS-Projects,isaacullah/GIS-Projects,CC-BY-NC-SA-4.0
16,grass-arch,fradeve/grass-arch,GFDL-1.3
17,levant-zooarch,sarahkansa/levant-zooarch,Unlicense
18,signboardr,mrecos/signboardr,MIT
19,rintchron,joeroe/rintchron,MIT
20,opencontext,ropensci/opencontext,MIT
21,era,joeroe/era,MIT
22,anthropmmd,frederic-santos/anthropmmd,CECILL-2.1
23,c14,joeroe/c14,MIT
24,rpaleoclim,joeroe/rpaleoclim,MIT
25,baydem,eehh-stanford/baydem,MIT
26,aDRAC,dirkseidensticker/aDRAC,ODbL-1.0
27,outlineR,yesdavid/outlineR,MIT
28,swapdata,joeroe/swapdata,MIT
29,yada,eehh-stanford/yada,MIT
30,paleocar,bocinsky/paleocar,MIT
31,The Southwestern Taphonomic Protocol,bocinsky/swtp,MIT
32,tdar,bocinsky/tdar,MIT
33,pileupcaller,stschiff/sequenceTools,Proprietary
34,cuperdec,jfy133/cuperdec,MIT
35,RoomAccum,kintigh/RoomAccum,CC-BY-3.0
36,cleanc14,joeroe/cleanc14,MIT
37,racisminarchy,parkgayoung/racisminarchy,MIT
38,spDates,jgregoriods/spDates,MIT
39,xronos.R,xronos-ch/xronos.R,MIT
40,p3k14c,people3k/p3k14c,MIT
41,UThwigl,tonydoss/UThwigl,MIT
42,sdr33_triangulation,Geo-Linux-Calculations/python-sdr33triangle,Public Domain Mark 1.0 Universal
43,pXRF,MartinHinz/pXRF,MIT
44,chronup,wccarleton/chronup,MIT
45,recmod,wccarleton/recmod,MIT
46,rarcheo,nfrerebeau/rarcheo,CC-BY-NC-SA-4.0
47,villager,zizroc/villager,MIT
48,DIGSS,markhubbe/DIGSS,MIT
49,roev,benmarwick/roev,MIT
50,3D_EdgeAngle,lschunk/3D_EdgeAngle,CC-BY-NC-SA-4.0
51,teethr,bbartholdy/teethr,MIT
52,pleiades.datasets,isawnyu/pleiades.datasets,CC-BY-3.0
